Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Consultant,Careersource,Coimbatore,3 Months,2 days ago,"Customer Support, Human Resources, Recruitment",120,4725,Any
HR,Bhartiyneer,Jodhpur,3 Months,1 day ago,"HR Operations, Human Resources, Project Management, Recruitment, Talent Management",0,4000,Any
Sales,THW - The Healthy World,Pune,3 Months,2 weeks ago,"Business Development, Digital Marketing, Effective Communication, English Proficiency (Spoken), Field Work, Interpersonal skills, Sales",78,11500,Any
Python Dev,Byteprolabs,Coimbatore,3 Months,1 week ago,"OpenCV, Python",94,12500,Any
Content Creation,Be Rolling Media,Delhi,4 Months,1 week ago,"AI Video Generation, Content Marketing, Copywriting, Effective Communication, Video Editing",187,6500,Any
Telecalling,Right Recruit Consultancy,WFH,3 Months,Few hours ago,"English Proficiency (Spoken), Hindi Proficiency (Spoken)",203,9000,Any
Operations,Get Structured Consulting Services OPC Pvt. Ltd.,Thane,3 Months,1 week ago,"Compensation management, Human Resources, Operations, Payroll, Recruitment",105,7500,Any
Content Writing,Brightrays,Noida,3 Months,Few hours ago,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing",225,12000,Any
Video Making/Editing,Euprime,WFH,4 Months,3 weeks ago,"Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",708,14000,Any
CA,Manish Mittal And Company,Noida,24 Months,1 week ago,"Accounting, MS-Office, Research and Analytics, Statutory compliances",0,7000,Any
Sales,GenieHR Solutions Pvt. Ltd.,Mohali,2 Months,Few hours ago,"Customer Acquisition, Effective Communication",38,32500,Any
Sales,ICS Foods,Gurgaon,2 Months,Just now,"Cold Calling, Effective Communication, Lead Generation",0,20000,Any
Video Making/Editing,NoBroker,Bangalore,3 Months,Just now,"Adobe After Effects, Adobe Animate, Adobe Illustrator, Animation, Motion Graphics, Video Editing, Video Making",0,12500,Any
Marketing,Physics Wallah Pvt. Ltd.,Noida,2 Months,Just now,"Digital Marketing Tools, Effective Communication, Marketing Campaigns , Marketing Strategies , Market research",0,17500,Any
Marketing,Western Refrigeration Pvt. Ltd.,Mumbai,6 Months,Few hours ago,Market research,0,10000,Any
Talent Acquisition,Acko General Insurance,Bangalore,3 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), Interview Coordination, MS-Excel, Recruitment, Resume screening, Stakeholder Management",35,17500,Any
Marketing,Anmol Industries Ltd.,Greater Noida,3 Months,Few hours ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",0,7500,Any
Marketing,Anmol Industries Ltd.,Noida,3 Months,Few hours ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",0,7500,Any
Marketing,Westcon Comstor,Mumbai,6 Months,Few hours ago,"Digital Marketing, Marketing Campaigns , Social Media Marketing",0,17500,Any
Sales,Urban Company,Mumbai,6 Months,Few hours ago,MS-Excel,0,24000,Any
Finance,Focus Wise Solution,WFH,1 Month,Few hours ago,"Financial literacy, Investing, Portfolio Management, Stock Trading",123,3500,Any
Content Writing,NoBroker Technologies Solution Pvt. Ltd.,Bangalore,6 Months,Today,"Blogging, Content Editing, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO)",0,10000,Any
Graphic Design,Imarticus Learning,Mumbai,3 Months,Today,"Design Thinking, Graphic Design, Motion Graphics",0,12500,Any
Graphic Design,Imarticus Learning,Noida,3 Months,Today,"Design Thinking, Graphic Design, Motion Graphics",0,12500,Any
Operations,Delhivery Direct Local,Bangalore,3 Months,1 day ago,"Business Development, Operations",0,15000,Any
Telecalling,EXp Realty,Navi Mumbai,6 Months,1 day ago,"English Proficiency (Spoken), MS-Excel",0,22500,Any
Telecalling,EXp Realty,Mumbai,6 Months,1 day ago,"English Proficiency (Spoken), MS-Excel",0,22500,Any
HR,Kriya Nextwealth Pvt. Ltd.,Bangalore,6 Months,1 day ago,"Advanced Excel, Data Visualization, English Proficiency (Spoken), HR Analytics",77,25000,Any
HR,Kisaan Parivar Pvt. Ltd.,Hyderabad,3 Months,1 day ago,"English Proficiency (Spoken), MS-Excel, MS-Word",33,10000,Any
Recruitment,PropertyPistol,Navi Mumbai,6 Months,1 day ago,"English Proficiency (Spoken), MS-Office",0,12500,Any
Sales,Moople Institute Of Animation And Design,Kolkata,6 Months,1 day ago,"Bengali Proficiency (Spoken), Client Interaction, Customer Acquisition",26,14000,Any
