Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Recruitment Consultant,Careersource,Coimbatore,"₹ 3,700 - 5,750 /month",3 Months,2 days ago,,"Customer Support
Human Resources
Recruitment",120 applicants
"HR (Team, Projects & Coordination Role)",Bhartiyneer,Jodhpur,"₹ 3,000 - 5,000 /month",3 Months,1 day ago,,"HR Operations
Human Resources
Project Management
Recruitment
Talent Management",Be an early applicant
Business Development (Sales),THW - The Healthy World,Pune,"₹ 8,000 - 15,000 /month",3 Months,2 weeks ago,,"Business Development
Digital Marketing
Effective Communication
English Proficiency (Spoken)
Field Work
Interpersonal skills
Sales",78 applicants
Python Development – Image & Visual Processing,Byteprolabs,Coimbatore                                                                (Hybrid),"₹ 10,000 - 15,000 /month",3 Months,1 week ago,,"OpenCV
Python",94 applicants
Content Creation,Be Rolling Media,Delhi                                                                (Hybrid),"₹ 5,000 - 8,000 /month",4 Months,1 week ago,,"AI Video Generation
Content Marketing
Copywriting
Effective Communication
Video Editing",187 applicants
Telecalling,Right Recruit Consultancy,Work from home,"₹ 8,000 - 10,000 /month",3 Months,Few hours ago,,"English Proficiency (Spoken)
Hindi Proficiency (Spoken)",203 applicants
Human Resource Operations,Get Structured Consulting Services OPC Private Limited,Thane,"₹ 7,000 - 8,000 /month",3 Months,1 week ago,,"Compensation management
Human Resources
Operations
Payroll
Recruitment",105 applicants
Content Writing,Brightrays,Noida,"₹ 12,000 /month",3 Months,Few hours ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",225 applicants
Video Editing/Making,Euprime,Work from home,"₹ 8,000 - 20,000 /month",4 Months,3 weeks ago,,"Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",708 applicants
CA Articleship,Manish Mittal And Company,Noida,"₹ 5,000 - 9,000 /month",24 Months,1 week ago,,"Accounting
MS-Office
Research and Analytics
Statutory compliances",Be an early applicant
Inside Sales,GenieHR Solutions Private Limited,Mohali                                                                (Hybrid),"₹ 15,000 - 50,000 /month",2 Months,Few hours ago,,"Customer Acquisition
Effective Communication",38 applicants
Delegate Acquisition,Times Internet,Noida,"₹ 9,000 - 10,000 /month",6 Months,1 day ago,,"Event Management
Lead Generation
Market research",54 applicants
Inside Sales,ICS Foods,Gurgaon                                                                (Hybrid),"₹ 15,000 - 25,000 /month",2 Months,Just now,,"Cold Calling
Effective Communication
Lead Generation",Be an early applicant
Video Production,NoBroker,Bangalore,"₹ 10,000 - 15,000 /month",3 Months,Just now,,"Adobe After Effects
Adobe Animate
Adobe Illustrator
Animation
Motion Graphics
Video Editing
Video Making",Be an early applicant
Marketing,Physics Wallah Private Limited,Noida,"₹ 10,000 - 25,000 /month",2 Months,Just now,,"Digital Marketing Tools
Effective Communication
Marketing Campaigns 
Marketing Strategies 
Market research",Be an early applicant
Marketing,Western Refrigeration Private Limited,Mumbai,"₹ 10,000 /month",6 Months,Few hours ago,,Market research,Be an early applicant
Talent Acquisition,Acko General Insurance,Bangalore,"₹ 15,000 - 20,000 /month",3 Months,Few hours ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Interview Coordination
MS-Excel
Recruitment
Resume screening
Stakeholder Management",35 applicants
Digital Marketing,Anmol Industries Limited,"Greater Noida, Noida","₹ 5,000 - 10,000 /month",3 Months,Few hours ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Marketing,Westcon Comstor,Mumbai                                                                (Hybrid),"₹ 15,000 - 20,000 /month",6 Months,Few hours ago,,"Digital Marketing
Marketing Campaigns 
Social Media Marketing",Be an early applicant
Business Development (Sales),Urban Company,Mumbai,"₹ 23,000 - 25,000 /month",6 Months,Few hours ago,,MS-Excel,Be an early applicant
Prompt Engineering,NoBroker,Bangalore,"₹ 20,000 - 25,000 /month",3 Months,Few hours ago,,"Generative AI Tools
LLM evaluation
Machine Learning
Natural Language Processing (NLP)",143 applicants
Stock Market Learning & Outreach,Focus Wise Solution,Work from home,"₹ 2,000 - 5,000 /month",1 Month,Few hours ago,,"Financial literacy
Investing
Portfolio Management
Stock Trading",123 applicants
Content Writing,NoBroker Technologies Solution Private Limited,Bangalore,"₹ 10,000 /month",6 Months,Today,,"Blogging
Content Editing
Content Writing
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)
Search Engine Optimization (SEO)",Be an early applicant
E-Learning Course Graphics Designer/Animator,Imarticus Learning,"Mumbai, Noida","₹ 10,000 - 15,000 /month",3 Months,Today,,"Design Thinking
Graphic Design
Motion Graphics",Be an early applicant
Operations,Delhivery Direct Local,Bangalore,"₹ 15,000 /month",3 Months,1 day ago,,"Business Development
Operations",Be an early applicant
Telecalling,EXp Realty,"Navi Mumbai, Mumbai","₹ 15,000 - 30,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
MS-Excel",Be an early applicant
Human Resources (HR),Kriya Nextwealth Private Limited,Bangalore,"₹ 20,000 - 30,000 /month",6 Months,1 day ago,,"Advanced Excel
Data Visualization
English Proficiency (Spoken)
HR Analytics",77 applicants
Human Resources (HR),Kisaan Parivar Private Limited,Hyderabad,"₹ 10,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
MS-Excel
MS-Word",33 applicants
Recruitment,PropertyPistol,Navi Mumbai,"₹ 10,000 - 15,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
MS-Office",Be an early applicant
Content Programming,Hungama Digital Media Entertainment Private Limited,Mumbai,"₹ 5,000 /month",3 Months,1 day ago,,Operations,820 applicants
MIS,Hungama Digital Media Entertainment Private Limited,Mumbai,"₹ 5,000 /month",3 Months,1 day ago,,"Data Science
MS-Excel",176 applicants
Business Development (Sales),Moople Institute Of Animation And Design,Kolkata,"₹ 11,000 - 17,000 /month",6 Months,1 day ago,,"Bengali Proficiency (Spoken)
Client Interaction
Customer Acquisition",26 applicants
Video Editing/Making,Midex Vashi Marketing Private Limited,Mumbai,"₹ 5,000 - 10,000 /month",3 Months,2 days ago,,"AI Image Generation
AI Video Generation
AI Voiceover
Video Editing",Be an early applicant
Video Editing/Making,Raghav Chadha,Delhi                                                                (Hybrid),"₹ 5,000 /month",2 Months,2 days ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",71 applicants
